"id","paint_id","created_at","updated_at","created_by_id","updated_by_id","paint_name","paint_makers","service_period_years","claimed_speed_loss","claimed_speed_loss_per_year","grade","claimed_fuel_savings","created_user","updated_user","created_time","updated_time"
73,"JNSSL",NULL,NULL,NULL,NULL,"SeaQuantum S Line","Jotun",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
74,"JNSPA",NULL,NULL,NULL,NULL,"SeaQuantum PRO ACE","Jotun",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
75,"JNSLR",NULL,NULL,NULL,NULL,"SeaLion Repulse","Jotun",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
76,"JNSMN",NULL,NULL,NULL,NULL,"SeaMate M & NB","Jotun",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
77,"JNSF9",NULL,NULL,NULL,NULL,"SeaForce 90","Jotun",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
78,"JNSF6",NULL,NULL,NULL,NULL,"SeaForce 60 M/N","Jotun",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
79,"JNSAP",NULL,NULL,NULL,NULL,"SeaForce Active Plus","Jotun",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
80,"JNSAC",NULL,NULL,NULL,NULL,"SeaForce Active/ ACE","Jotun",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
81,"JNS90",NULL,NULL,NULL,NULL,"Seaconomy 900","Jotun",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
82,"JNSSF",NULL,NULL,NULL,NULL,"SeaForce Shield","Jotun",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
83,"JNS3M",NULL,NULL,NULL,NULL,"SeaForce 30M","Jotun",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
84,"JNS70",NULL,NULL,NULL,NULL,"Seaconomy 700","Jotun",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
85,"JNS15",NULL,NULL,NULL,NULL,"SeaForce 15","Jotun",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
130,"CHMAPASE50",NULL,NULL,NULL,NULL,"Seagrandprix 500HS","Choguku Marine Paints",5,3.0,1.2,NULL,NULL,"Fleet3",NULL,"2023-04-19 09:52:52.315561",NULL
131,"PPSG1",NULL,NULL,NULL,NULL,"SigmaGlide 1290","PPG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,"PPSNS",NULL,NULL,NULL,NULL,"Sigma Nexeon 710/ Sailadvance GX","PPG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,"PPSSR",NULL,NULL,NULL,NULL,"Sigma SailAdvance RX","PPG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,"ANIFX",NULL,NULL,NULL,NULL,"Intersleek 1100SR-FXA997/A","Akzonobel Paint",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,"ANI37",NULL,NULL,NULL,NULL,"Intersmooth 7465Si SPC-BEA837","Akzonobel Paint",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,"ANI47",NULL,NULL,NULL,NULL,"Intersmooth 7475Si SPC-BEA847","Akzonobel Paint",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,"ANI34",NULL,NULL,NULL,NULL,"Intersmooth 7465Si SPC-BEA834","Akzonobel Paint",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,"ANIIF",NULL,NULL,NULL,NULL,"Intersmooth 7465Si SPC-BEA837  / Intersleek 1100SR-FXA997/A","Akzonobel Paint",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,"PPSE5",NULL,NULL,NULL,NULL,"SigmaEcofleet 530","PPG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,"JNSUS",NULL,NULL,NULL,NULL,"SeaQuantum Ultra s","Jotun",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,"HEAFO",NULL,NULL,NULL,NULL,"Antifouling Olympic","Hempel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
